TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
1.0,0.1,31.0,214.0,245.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
2.0,0.2,30.0,217.0,247.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
3.0,0.30000000000000004,31.0,221.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
4.0,0.4,34.0,217.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
5.0,0.5,34.0,219.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
6.0,0.6000000000000001,34.0,222.0,256.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
7.0,0.7000000000000001,34.0,217.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
8.0,0.8,36.0,217.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
9.0,0.9,38.0,217.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
10.0,1.0,39.0,215.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
11.0,1.1,40.0,222.0,262.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
12.0,1.2000000000000002,41.0,218.0,259.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
13.0,1.3,38.0,216.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
14.0,1.4000000000000001,39.0,214.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
15.0,1.5,37.0,216.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
16.0,1.6,38.0,214.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
17.0,1.7000000000000002,37.0,215.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
18.0,1.8,35.0,217.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
19.0,1.9000000000000001,34.0,217.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
20.0,2.0,38.0,218.0,256.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,21.0,0.0,0.88
